PERIODO,DEPARTAMENTO,Municipio,CODIGO PLANTEL EDUCATIVO,GRADO,TOTAL INSCRITOS,TOTAL EVALUADOS,CLASIFICACION,INDICE TOTAL,APROBACIÓN,POBLACIÓN DANE,No. ACCESOS FIJOS A INTERNET,REPITENCIA,DESERCIÓN,COBERTURA_NETA,REPROBACIÓN
2021,antioquia,granada,105313000016,11.0,271.0,267.0,B,0.67,91.22,29451,1884,3.86,3.89,90.62,4.89
2021,antioquia,granada,205313000215,11.0,13.0,12.0,D,0.58,91.22,29451,1884,3.86,3.89,90.62,4.89
2021,antioquia,granada,205313000517,11.0,30.0,30.0,C,0.65,91.22,29451,1884,3.86,3.89,90.62,4.89
2021,antioquia,nariño,105483000347,11.0,84.0,81.0,C,0.64,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000392,11.0,3.0,3.0,SC,0.59,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000457,11.0,55.0,55.0,D,0.57,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000058,11.0,14.0,14.0,D,0.49,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000163,11.0,4.0,4.0,SC,0.59,92.8,5749,199,3.03,3.05,71.69,3.92
2021,antioquia,nariño,205483000317,11.0,44.0,41.0,D,0.54,92.8,5749,199,3.03,3.05,71.69,3.92
2021,cundinamarca,beltrán,125086000234,11.0,30.0,29.0,C,0.63,95.74,1865,40,2.93,3.28,93.59,0.98
2021,cundinamarca,facatativá,125269004212,11.0,388.0,386.0,B,0.7,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,funza,125286000611,11.0,304.0,300.0,B,0.69,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,funza,125286800006,11.0,223.0,218.0,A,0.72,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,funza,125286000697,11.0,172.0,169.0,B,0.68,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,funza,125286000123,11.0,276.0,271.0,B,0.69,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,girardot,125307001737,11.0,443.0,437.0,C,0.65,87.04,105557,20344,3.45,5.02,96.97,7.94
